mean_pause_ms,pause_variance_std,mean_velocity_px_ms,max_velocity_px_ms,label
60.49,95.15,0.2491,2.3358,1
27.19,50.17,0.1309,0.4118,1
91.66,104.47,0.0522,0.4615,1
75.95,60.48,0.0356,0.1258,1
35.27,40.7,0.0619,0.1143,1
44.35,49.9,0.0531,0.2326,1
67.1,117.73,0.1358,0.6299,1
94.13,295.55,0.0795,0.3252,1
101.07,119.34,0.0502,0.2597,1
54.8,52.92,0.0386,0.1274,1
163.93,22.84,0.007,0.01,1
32.39,24.7,0.0836,0.3774,1
34.18,37.97,0.0783,0.3185,1
25.09,11.92,0.0625,0.2381,1
45.35,20.81,0.0324,0.1258,1
45.6,14.05,0.0278,0.0613,1
36.38,22.27,0.0556,0.3356,1
57.36,139.71,0.1267,0.7362,1
30.54,63.95,0.167,0.7801,1
40.76,41.71,0.0996,0.4848,1
33.94,64.88,0.1095,0.4027,1
135.62,545.98,0.2044,0.4375,1
61.39,237.01,0.1211,0.4706,1
29.6,58.31,0.1331,0.4706,1
34.4,71.68,0.181,0.5128,1
53.04,165.24,0.234,0.7927,1
32.57,53.5,0.1749,0.8333,1
35.18,112.38,2.5376,11.0,1
18.49,11.37,2.9805,12.6786,0
46.77,152.21,1.7674,8.0864,0
52.39,174.17,0.6914,7.8102,0
30.76,56.53,0.7821,4.3182,0
29.56,85.63,2.8682,15.9627,0
19.64,21.88,1.998,15.2469,0
18.45,7.91,0.1593,0.4167,1
26.06,34.99,0.1238,0.5,1
39.28,52.84,0.1127,0.4321,1
73.83,62.44,0.028,0.1227,1
106.41,185.32,0.0522,0.25,1
273.29,171.36,0.0078,0.0298,1
83.31,153.53,0.0437,0.4237,1
129.24,135.49,0.0259,0.1274,1
81.08,192.58,0.0777,0.2941,1
293.25,202.42,0.0102,0.0303,1
105.33,114.86,0.0201,0.107,1
79.55,184.4,0.0437,0.1807,1
87.84,133.28,0.0344,0.1205,1
176.18,152.09,0.0202,0.1282,1
182.74,75.15,0.0062,0.0132,1
203.97,88.06,0.0069,0.0238,1
174.68,294.38,0.0269,0.1198,1
65.77,42.5,0.0281,0.0606,1
31.57,27.49,0.0578,0.25,1
36.66,33.79,0.0494,0.1695,1
78.73,79.93,0.0459,0.1875,1
59.86,52.37,0.0491,0.1911,1
70.3,70.76,0.0622,0.2381,1
52.98,140.09,0.0746,0.2614,1
64.49,186.43,0.0722,0.3125,1
32.12,27.51,0.0558,0.1923,1
23.59,15.0,0.0753,0.2326,1
35.21,34.69,0.0594,0.1734,1
60.77,150.88,0.0542,0.1235,1
67.41,236.28,0.0613,0.1775,1
37.37,37.02,0.0571,0.1807,1
51.86,64.11,0.0574,0.1796,1
56.85,140.1,0.0731,0.2484,1
43.32,148.17,0.0968,0.5844,1
28.55,74.45,0.1444,0.3922,1
48.81,72.69,0.0862,0.1775,1
24.7,45.01,0.2409,0.8092,1
17.04,2.98,0.6744,2.1739,1
113.84,344.92,4.0523,14.4848,1
111.85,460.84,3.5656,11.4368,0
34.99,70.53,0.837,6.6917,0
29.77,58.58,1.9671,9.6491,0
20.24,22.47,2.8017,10.061,0
18.8,11.86,2.9271,12.3669,0
57.37,163.17,3.6052,12.1649,0
